employee_id,employee_name,gender,dob,age,marital_status,city,state,phone,email,department_id,designation,education,experience_years,date_of_joining,employment_status,exit_date,monthly_basic_salary,satisfaction_score
EMP00001,Vivaan Gupta,Male,1979-02-08,47,Single,Indore,Madhya Pradesh,+916539082113,vivaan.gupta106@yahoo.com,DEP010,Deputy General Manager,B.Sc,1.8,2017-01-13,Resigned,2022-01-15,250000,3
EMP00002,Suresh Ghosh,Other,1985-08-19,41,Single,Indore,Madhya Pradesh,+918587291471,suresh.ghosh986@gmail.com,DEP011,Senior Associate,Diploma,9.0,2025-03-01,Active,,45000,5
EMP00003,Rekha Malhotra,Female,2001-02-09,25,Divorced,Chandigarh,Chandigarh,+918783936422,rekha.malhotra401@hotmail.com,DEP008,Senior Associate,B.A.,1.8,2025-08-19,Terminated,,80000,4
EMP00004,Nisha Iyer,Female,1983-11-13,43,Single,Indore,Madhya Pradesh,+91-121563,nisha.iyer974@rediffmail.com,DEP010,General Manager,B.Tech,2.5,2020-03-05,Active,,45000,4
EMP00005,Sneha Yadav,Other,1999-08-21,27,Single,Nagpur,Maharashtra,+916155960236,sneha.yadav373@rediffmail.com,DEP008,Senior Associate,B.Com,5.7,2023-12-25,Active,,60000,4
EMP00006,Arjun Singh,Male,1989-08-27,37,Divorced,Ghaziabad,Uttar Pradesh,+916726085932,arjun.singh338@rediffmail.com,DEP011,Senior Analyst,PhD,6.2,2018-08-15,Resigned,2019-02-15,200000,2
EMP00007,Krishna Kapoor,Male,1983-12-01,43,Divorced,Surat,Gujarat,+919873901434,krishna.kapoor861@rediffmail.com,DEP001,Manager,MBA,8.4,2015-08-17,On Notice Period,,80000,1
EMP00008,Suresh Patel,Other,1984-02-26,42,Single,Indore,Madhya Pradesh,+916198189635,suresh.patel819@gmail.com,DEP012,General Manager,B.Com,12.0,2023-11-17,Active,,35000,5
EMP00009,Krishna Sharma,Male,1992-05-17,34,Single,Jaipur,Rajasthan,,krishna.sharma835@rediffmail.com,DEP009,Assistant Manager,Diploma,17.6,2020-05-24,On Notice Period,,80000,
EMP00010,Myra Chopra,Female,1996-03-05,30,Divorced,Delhi,Delhi,+916801004080,myra.chopra621@rediffmail.com,DEP009,Senior Analyst,M.Tech,16.7,2025-08-14,Resigned,,100000,4
EMP00011,Gaurav Kapoor,Male,1970-04-27,56,Single,Jaipur,Rajasthan,+919067817618,gaurav.kapoor765@yahoo.com,DEP002,Assistant Manager,M.Sc,12.5,2025-01-14,Active,,130000,2
EMP00012,Divya Yadav,Female,1979-04-12,47,Married,Ghaziabad,Uttar Pradesh,+916352919280,divya.yadav277@yahoo.com,DEP003,Consultant,M.Com,21.7,2022-02-22,Active,,25000,3
EMP00013,Sarika Rao,Female,1988-01-26,38,Divorced,Pune,Maharashtra,+918080843592,sarika.rao727@rediffmail.com,DEP004,Senior Associate,B.A.,26.9,2019-02-10,Active,,80000,3
EMP00014,Divya Shetty,Female,1987-08-17,39,Single,Kolkata,West Bengal,,divya.shetty527@yahoo.com,DEP008,Senior Analyst,M.Sc,10.4,2018-12-28,Active,,25000,1
EMP00015,Divya Menon,Other,1991-06-07,35,Single,Kolkata,West Bengal,,divya.menon57@yahoo.com,DEP002,General Manager,M.Com,29.7,2018-02-18,Active,,25000,5
EMP00016,Ananya Joshi,Female,1995-05-15,31,Divorced,Chennai,Tamil Nadu,+916933034525,ananya.joshi@@outlook.com,DEP003,Assistant Manager,PhD,10.9,2015-01-30,Active,,100000,1
EMP00017,Vikram Kapoor,Male,1967-07-25,59,Single,Hyderabad,Telangana,+919781558885,vikram.kapoor88@yahoo.com,DEP001,Associate,B.A.,4.5,2022-04-25,Terminated,,250000,3
EMP00018,Anil Sharma,Male,1974-05-01,52,Single,Ahmedabad,Gujarat,+916748827264,anil.sharma491@gmail.com,DEP011,Executive,B.Tech,2.1,2025-04-01,On Notice Period,,200000,5
EMP00019,Priya Desai,Female,1966-10-05,60,Single,Lucknow,Uttar Pradesh,+919254418199,,DEP009,Manager,M.Tech,1.8,2015-04-13,Active,,80000,4
EMP00020,Arjun Pillai,Other,1989-06-05,37,Married,Coimbatore,Tamil Nadu,+917044313380,arjun.pillai123@hotmail.com,DEP004,Vice President,B.Tech,26.6,2026-05-30,Active,,100000,3
EMP00021,Rahul Chaudhary,Other,2002-05-04,24,Single,Jaipur,Rajasthan,+919513988699,rahul.chaudhary51@gmail.com,DEP012,Assistant Manager,M.Sc,19.9,2016-02-27,On Notice Period,,320000,5
EMP00022,Ajay Kumar,Male,1975-07-11,51,Divorced,Chennai,Tamil Nadu,+919531129429,ajay.kumar438@hotmail.com,DEP003,Senior Manager,B.Sc,7.7,2021-04-27,Active,,320000,2
